Zscore	area	pvalue1sides	pvalue2sides
2.945	0.998385227	0.001614773	0.003229547
2.946	0.998390438	0.001609562	0.003219124
2.947	0.998395634	0.001604366	0.003208732
2.948	0.998400815	0.001599185	0.003198371
2.949	0.99840598	0.00159402	0.00318804
2.950	0.99841113	0.00158887	0.003177739
2.951	0.998416265	0.001583735	0.003167469
2.952	0.998421385	0.001578615	0.003157229
2.953	0.99842649	0.00157351	0.00314702
2.954	0.99843158	0.00156842	0.00313684
2.955	0.998436655	0.001563345	0.003126691
2.956	0.998441715	0.001558285	0.003116571
2.957	0.998446759	0.001553241	0.003106481
2.958	0.998451789	0.001548211	0.003096421
2.959	0.998456804	0.001543196	0.003086391
2.960	0.998461805	0.001538195	0.00307639
2.961	0.99846679	0.00153321	0.003066419
2.962	0.998471761	0.001528239	0.003056478
2.963	0.998476717	0.001523283	0.003046566
2.964	0.998481659	0.001518341	0.003036683
2.965	0.998486585	0.001513415	0.003026829
2.966	0.998491498	0.001508502	0.003017005
2.967	0.998496395	0.001503605	0.00300721
2.968	0.998501278	0.001498722	0.002997443
2.969	0.998506147	0.001493853	0.002987706
2.970	0.998511001	0.001488999	0.002977997
2.971	0.998515841	0.001484159	0.002968318
2.972	0.998520667	0.001479333	0.002958667
2.973	0.998525478	0.001474522	0.002949045
2.974	0.998530275	0.001469725	0.002939451
2.975	0.998535057	0.001464943	0.002929885
2.976	0.998539826	0.001460174	0.002920349
2.977	0.99854458	0.00145542	0.00291084
2.978	0.99854932	0.00145068	0.00290136
2.979	0.998554046	0.001445954	0.002891908
2.980	0.998558758	0.001441242	0.002882484
2.981	0.998563456	0.001436544	0.002873088
2.982	0.99856814	0.00143186	0.00286372
2.983	0.99857281	0.00142719	0.00285438
2.984	0.998577466	0.001422534	0.002845068
2.985	0.998582108	0.001417892	0.002835783
2.986	0.998586737	0.001413263	0.002826526
2.987	0.998591351	0.001408649	0.002817297
2.988	0.998595952	0.001404048	0.002808096
2.989	0.998600539	0.001399461	0.002798921
2.990	0.998605113	0.001394887	0.002789774
2.991	0.998609673	0.001390327	0.002780655
2.992	0.998614219	0.001385781	0.002771563
2.993	0.998618751	0.001381249	0.002762497
2.994	0.99862327	0.00137673	0.002753459
2.995	0.998627776	0.001372224	0.002744448
2.996	0.998632268	0.001367732	0.002735464
2.997	0.998636746	0.001363254	0.002726507
2.998	0.998641212	0.001358788	0.002717577
2.999	0.998645663	0.001354337	0.002708673
3.000	0.998650102	0.001349898	0.002699796
3.001	0.998654527	0.001345473	0.002690946
3.002	0.998658939	0.001341061	0.002682122
3.003	0.998663338	0.001336662	0.002673324
3.004	0.998667723	0.001332277	0.002664553
3.005	0.998672096	0.001327904	0.002655808
3.006	0.998676455	0.001323545	0.00264709
3.007	0.998680801	0.001319199	0.002638398
3.008	0.998685134	0.001314866	0.002629731
3.009	0.998689454	0.001310546	0.002621091
3.010	0.998693762	0.001306238	0.002612477
3.011	0.998698056	0.001301944	0.002603889
3.012	0.998702337	0.001297663	0.002595326
3.013	0.998706605	0.001293395	0.002586789
3.014	0.998710861	0.001289139	0.002578278
3.015	0.998715104	0.001284896	0.002569793
3.016	0.998719334	0.001280666	0.002561333
3.017	0.998723551	0.001276449	0.002552898
3.018	0.998727755	0.001272245	0.002544489
3.019	0.998731947	0.001268053	0.002536105
3.020	0.998736127	0.001263873	0.002527747
3.021	0.998740293	0.001259707	0.002519414
3.022	0.998744447	0.001255553	0.002511105
3.023	0.998748589	0.001251411	0.002502822
3.024	0.998752718	0.001247282	0.002494564
3.025	0.998756834	0.001243166	0.002486331
3.026	0.998760938	0.001239062	0.002478123
3.027	0.99876503	0.00123497	0.00246994
3.028	0.99876911	0.00123089	0.002461781
3.029	0.998773177	0.001226823	0.002453647
3.030	0.998777231	0.001222769	0.002445537
3.031	0.998781274	0.001218726	0.002437452
3.032	0.998785304	0.001214696	0.002429392
3.033	0.998789322	0.001210678	0.002421356
3.034	0.998793328	0.001206672	0.002413344
3.035	0.998797322	0.001202678	0.002405357
3.036	0.998801303	0.001198697	0.002397394
3.037	0.998805273	0.001194727	0.002389455
3.038	0.99880923	0.00119077	0.00238154
3.039	0.998813176	0.001186824	0.002373649
3.040	0.998817109	0.001182891	0.002365781
3.041	0.998821031	0.001178969	0.002357938
3.042	0.998824941	0.001175059	0.002350119
3.043	0.998828838	0.001171162	0.002342323
3.044	0.998832724	0.001167276	0.002334551
3.045	0.998836598	0.001163402	0.002326803
3.046	0.998840461	0.001159539	0.002319078
3.047	0.998844311	0.001155689	0.002311377
3.048	0.99884815	0.00115185	0.002303699
3.049	0.998851978	0.001148022	0.002296045
3.050	0.998855793	0.001144207	0.002288414
3.051	0.998859597	0.001140403	0.002280806
3.052	0.998863389	0.001136611	0.002273221
3.053	0.99886717	0.00113283	0.002265659
3.054	0.99887094	0.00112906	0.002258121
3.055	0.998874697	0.001125303	0.002250605
3.056	0.998878444	0.001121556	0.002243113
3.057	0.998882179	0.001117821	0.002235643
3.058	0.998885902	0.001114098	0.002228196
3.059	0.998889614	0.001110386	0.002220771
3.060	0.998893315	0.001106685	0.00221337
3.061	0.998897005	0.001102995	0.002205991
3.062	0.998900683	0.001099317	0.002198635
3.063	0.99890435	0.00109565	0.002191301
3.064	0.998908005	0.001091995	0.002183989
3.065	0.99891165	0.00108835	0.0021767
3.066	0.998915283	0.001084717	0.002169433
3.067	0.998918906	0.001081094	0.002162189
3.068	0.998922517	0.001077483	0.002154966
3.069	0.998926117	0.001073883	0.002147766
3.070	0.998929706	0.001070294	0.002140588
3.071	0.998933284	0.001066716	0.002133432
3.072	0.998936851	0.001063149	0.002126297
3.073	0.998940408	0.001059592	0.002119185
3.074	0.998943953	0.001056047	0.002112094
3.075	0.998947487	0.001052513	0.002105026
3.076	0.998951011	0.001048989	0.002097978
3.077	0.998954523	0.001045477	0.002090953
3.078	0.998958025	0.001041975	0.002083949
3.079	0.998961517	0.001038483	0.002076967
3.080	0.998964997	0.001035003	0.002070006
3.081	0.998968467	0.001031533	0.002063066
3.082	0.998971926	0.001028074	0.002056148
3.083	0.998975374	0.001024626	0.002049252
3.084	0.998978812	0.001021188	0.002042376
3.085	0.998982239	0.001017761	0.002035522
3.086	0.998985656	0.001014344	0.002028688
3.087	0.998989062	0.001010938	0.002021876
3.088	0.998992458	0.001007542	0.002015085
3.089	0.998995843	0.001004157	0.002008314
3.090	0.998999218	0.001000782	0.002001565
3.091	0.999002582	0.000997418	0.001994836
3.092	0.999005936	0.000994064	0.001988128
3.093	0.999009279	0.000990721	0.001981441
3.094	0.999012613	0.000987387	0.001974775
3.095	0.999015936	0.000984064	0.001968129
3.096	0.999019248	0.000980752	0.001961504
3.097	0.999022551	0.000977449	0.001954899
3.098	0.999025843	0.000974157	0.001948314
3.099	0.999029125	0.000970875	0.00194175
3.100	0.999032397	0.000967603	0.001935206
3.101	0.999035659	0.000964341	0.001928683
3.102	0.99903891	0.00096109	0.00192218
3.103	0.999042152	0.000957848	0.001915696
3.104	0.999045383	0.000954617	0.001909233
3.105	0.999048605	0.000951395	0.00190279
3.106	0.999051816	0.000948184	0.001896367
3.107	0.999055018	0.000944982	0.001889964
3.108	0.99905821	0.00094179	0.001883581
3.109	0.999061391	0.000938609	0.001877217
3.110	0.999064563	0.000935437	0.001870873
3.111	0.999067725	0.000932275	0.001864549
3.112	0.999070878	0.000929122	0.001858245
3.113	0.99907402	0.00092598	0.00185196
3.114	0.999077153	0.000922847	0.001845695
3.115	0.999080275	0.000919725	0.001839449
